"box_id","film_name","width_in","source","source_row","confidence","current_manufacturer","suggested_manufacturer","final_action","final_manufacturer","decision_reason","queue_reason"
"IL-3870","Coastal Dow 995 Black","60","keyword_vinyl","333","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3812","Dow 995","60","keyword_vinyl","338","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3237","Oracal Matte Black 751","48","keyword_vinyl","35","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3252","CAULK BLACK DOW 995","60","keyword_vinyl","350","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3500","Casper Cloaking Film","48","keyword_vinyl","444","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3501","Casper Cloaking Film","48","keyword_vinyl","445","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-2578","651 High Gloss series","60","keyword_vinyl","496","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3826","Fellers Oracale 651 Black Matte Vinyl","48","keyword_vinyl","536","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-2419","DOW 799 CORNING SILICONE","60","keyword_vinyl","583","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3328","SPECTRUM BLACK CAULK","60","keyword_vinyl","615","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3959","Coastal Dow 995 Black","60","keyword_vinyl","622","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-5017","DOW 795 Black","60","keyword_vinyl","627","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-5292","Oracal 751 Silver Metallic","48","keyword_vinyl","629","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-5335","Oracal 751 Silver Metallic","48","keyword_vinyl","639","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3478","651 Black Matte","48","keyword_vinyl","780","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-2271","Barcode","60","keyword_vinyl","912","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3548","Oracal 751 Black Matte 751CM-48-070","60","keyword_vinyl","96","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-5207","3M 7125 Dark Grey 41","48","lookup_film_width","567","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Exact film+width match to existing Vinyl rows"
"IL-5208","3M 7125 Dark Grey 41","48","lookup_film_width","568","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Exact film+width match to existing Vinyl rows"
"IL-5890","3M Scotchcal Duranodic 3630-69","48","lookup_film_width","930","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Exact film+width match to existing Vinyl rows"
